generacion,peces,tiburones
0,50000,5000
1,54986,4097
2,59249,3233
3,62725,2583
4,68343,2029
5,72714,1625
6,75360,1294
7,80661,1028
8,84208,805
9,86354,638
10,91078,484
11,93458,387
12,94381,301
13,98346,235
14,99892,176
15,99883,135
16,103174,103
17,103929,74
18,103404,56
19,106158,43
20,106282,33
21,104889,24
22,107499,18
23,107035,12
24,105644,9
25,107980,9
26,107858,6
27,106262,6
28,108496,4
29,108237,3
30,106829,1
31,108725,1
32,108273,0
33,106724,0
34,108980,0
35,108795,0
36,107063,0
37,108963,0
38,108653,0
39,106750,0
40,108928,0
41,108405,0
42,106784,0
43,109107,0
44,108672,0
45,107059,0
46,109255,0
47,109038,0
48,106903,0
49,109281,0
50,109020,0
51,106956,0
52,109246,0
53,109057,0
54,106997,0
55,109397,0
56,108769,0
57,106740,0
58,109124,0
59,108930,0
60,106753,0
61,109051,0
62,108805,0
63,106595,0
64,109005,0
65,108874,0
66,106629,0
67,109095,0
68,108827,0
69,106702,0
70,109033,0
71,108742,0
72,106617,0
73,109194,0
74,108918,0
75,106609,0
76,108898,0
77,108629,0
78,106379,0
79,108797,0
80,108601,0
81,106497,0
82,109090,0
83,108837,0
84,106849,0
85,109464,0
86,108917,0
87,106815,0
88,109147,0
89,108586,0
90,106769,0
91,109076,0
92,108605,0
93,106790,0
94,109300,0
95,108792,0
96,106660,0
97,109209,0
98,108898,0
99,106764,0
100,109366,0
101,109140,0
102,106919,0
103,109209,0
104,108780,0
105,106642,0
106,109207,0
107,108758,0
108,106831,0
109,109226,0
110,109042,0
111,106814,0
112,109352,0
113,109074,0
114,106714,0
115,109456,0
116,109079,0
117,106794,0
118,109158,0
119,108815,0
120,106625,0
121,109125,0
122,108834,0
123,106756,0
124,109205,0
125,108928,0
126,106672,0
127,109058,0
128,108714,0
129,106878,0
130,109541,0
131,109075,0
132,107090,0
133,109645,0
134,109205,0
135,107191,0
136,109573,0
137,109349,0
138,107088,0
139,109547,0
